Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Technique ou R&D;Usage - Autre
Alsatis;3,8 GHz;3900;4000;2023-1957;https://www.arcep.fr/uploads/tx_gsavis/23-1957.pdf;46,0747222222222;6,57027777777778;74081;Cluses;Haute-Savoie;Auvergne-Rhône-Alpes;2023-09-07;2026-09-06;Expérimentation pour soutenir, avancer, aider et sécuriser le déploiement de la 5G industrielle dans les ateliers de production manufacturiers. Cette expérimentation est l'un des principaux objectifs du Fablab 5G industrielle de Cluses, lauréat de l’AMI Campus Fablab 5G industrielle lancé par l’Etat.;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0
Alsatis;3,8 GHz;3900;4000;2023-2108;https://www.arcep.fr/uploads/tx_gsavis/23-2108.pdf;47,4563888888889;-0,537777777777778;49007;Angers;Maine-et-Loire;Pays de la Loire;2023-09-28;2025-12-31;Expérimentation menée dans le cadre du projet 5Green Mobilité qui a pour objectif d’activer différentes stratégies de régulation de la circulation en zone urbaine grâce à l’analyse de la qualité de l’air et du trafic, mais aussi de sensibiliser les populations urbaines aux comportements pro-environnementaux. L’ensemble des données sont collectées grâce à l’infrastructure 5G privée déployée.;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
EDF;3,8 GHz;3880;3980;2023-1958;https://www.arcep.fr/uploads/tx_gsavis/23-1958.pdf;48,8972222222222;2,17;78146;Chatou;Yvelines;Île-de-France;2023-09-15;2026-09-14;Plateforme d’expérimentation d’EDF Lab Chatou qui vise à définir les modalités de migration des réseaux industriels cellulaires privés d’EDF vers la technologie 5G.;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1
EDF;26 GHz;26500;26900;2023-1959;https://www.arcep.fr/uploads/tx_gsavis/23-1959.pdf;48,8973611111111;2,17008333333333;78146;Chatou;Yvelines;Île-de-France;2023-09-15;2026-09-14;Plateforme d’expérimentation d’EDF Lab Chatou qui vise à définir les modalités de migration des réseaux industriels cellulaires privés d’EDF vers la technologie 5G.;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0
EDF;2,6 GHz TDD;2575;2615;2024-1870;https://www.arcep.fr/uploads/tx_gsavis/24-1870.pdf;48,89722222222222;2,17;78146;Chatou;Yvelines;Île-de-France;2024-09-16;2027-09-15;En portant de nouveaux cas d’usage et en s’appuyant sur différentes fonctions techniques issues de l’écosystème 5G, la plateforme d’expérimentation d’EDF Lab Chatou vise à définir les modalités de migration vers la 5G des réseaux industriels cellulaires privés d’EDF,;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;1;1
Fives Xcella;3,8 GHz;3900;4000;2023-2295;https://www.arcep.fr/uploads/tx_gsavis/23-2295.pdf;47,7236111111111;-3,38833333333333;56107;Larmor-Plage;Morbihan;Bretagne;2023-10-17;2026-10-16;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0
Orange;3,8 GHz;3900;4000;2023-2569;https://www.arcep.fr/uploads/tx_gsavis/23-2569.pdf;48,7997222222222;2,29416666666667;92020;Châtillon;Hauts-de-Seine;Île-de-France;2023-12-01;2024-11-30;Expérimentation qui vise à tester la mise en oeuvre d’équipements (typiquement panneaux solaires et batteries) et de fonctionnalités au sein de l’environnement technique des sites radio mobiles, afin d’optimiser la consommation d’énergie du réseau électrique et de participer à la flexibilité énergétique.;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
Airmob Infra Full;3,8 GHz;3800;3900;2023-2546;https://www.arcep.fr/uploads/tx_gsavis/23-2546.pdf;49,4769444444444;1,09138888888889;76451;Mont-Saint-Aignan;Seine-Maritime;Normandie;2023-11-14;2026-11-13;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0
Airmob Infra Full;3,8 GHz;3800;3900;2023-2547;https://www.arcep.fr/uploads/tx_gsavis/23-2547.pdf;49,2597222222222;1,18694444444444;27701;Val-de-Reuil;Eure;Normandie;2023-11-14;2026-11-13;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0
Airmob Infra Full;3,8 GHz;3800;3900;2023-2548;https://www.arcep.fr/uploads/tx_gsavis/23-2548.pdf;43,6027777777778;1,45416666666667;31555;Toulouse;Haute-Garonne;Occitanie;2023-12-01;2026-11-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0
Airmob Infra Full;3,8 GHz;3800;3900;2023-2474;https://www.arcep.fr/uploads/tx_gsavis/23-2474.pdf;48,8930555555556;2,24083333333333;92026;Courbevoie;Hauts-de-Seine;Île-de-France;2023-12-01;2026-11-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0
Sysoco/Axians;2,6 GHz TDD;2575;2595;2023-2398;https://www.arcep.fr/uploads/tx_gsavis/23-2398.pdf;48,7933333333333;2,04861111111111;78423;Montigny-le-Bretonneux;Yvelines;Île-de-France;2023-10-27;2024-10-26;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
Celeste;3,8 GHz;3900;4000;2023-2549;https://www.arcep.fr/uploads/tx_gsavis/23-2549.pdf;48,8348611111111;2,58816666666667;77083;Champs-sur-Marne;Seine-et-Marne;Île-de-France;2023-12-15;2026-12-14;Plateforme expérimentale d'une solution 5G pour la captation vidéo mult-caméras;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
Nokia Networks France;3,8 GHz;3900;4000;2023-2619;https://www.arcep.fr/uploads/tx_gsavis/23-2619.pdf;48,688;2,27411111111111;91587;Saulx-les-Chartreux;Essonne;Île-de-France;2023-11-22;2025-01-21;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0
Celeste;3,8 GHz;3900;4000;2023-2721;https://www.arcep.fr/uploads/tx_gsavis/23-2721.pdf;46,13775;6,11705555555556;74016;Archamps;Haute-Savoie;Auvergne-Rhône-Alpes;2023-12-18;2026-12-17;Plateforme expérimentale d'une solution 5G pour la captation vidéo mult-caméras;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
Celeste;3,8 GHz;3900;4000;2023-2723;https://www.arcep.fr/uploads/tx_gsavis/23-2723.pdf;43,9193111111111;2,18252777777778;81004;Albi;Tarn;Occitanie;2023-12-18;2026-12-17;Plateforme expérimentale d'une solution 5G pour la captation vidéo mult-caméras;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
CEA;3,8 GHz;3900;4000;2023-2837;https://www.arcep.fr/uploads/tx_gsavis/23-2837.pdf;47,1575833333333;-1,58713888888889;44020;Bouguenais;Loire-Atlantique;Pays de la Loire;2023-12-12;2024-12-11;Le projet « PI5G » a pour ambition d’accélérer le développement de produits/services combinant les technologies immersives (eXtended Reality) et la 5G pour l’industrie 4.0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
Paris la Défense;2,6 GHz TDD;2595;2615;2023-2720;https://www.arcep.fr/uploads/tx_gsavis/23-2720.pdf;48,891325;2,23835277777778;92026;Courbevoie;Hauts-de-Seine;Île-de-France;2023-05-30;2025-09-30;Bande d'acroche pour mener des expérimentations d'usage 5G dans la bande 26 GHz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Axione;3,8 GHz;3900;4000;2023-2812;https://www.arcep.fr/uploads/tx_gsavis/23-2812.pdf;48,8153333333333;2,30425;92046;Malakoff;Hauts-de-Seine;Île-de-France;2024-01-01;2025-12-31;La plateforme 5G SA permet d’intégrer les éléments (terminaux, RAN 5G SA et CORE 5G) d’un réseau mobile privé dans le lab d’Axione à Malakoff et de valider les performances du réseau pour les différents cas d’usage (Streaming video UL, VoIP, …);0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1
CEA;3,8 GHz;3900;4000;2023-2722;https://www.arcep.fr/uploads/tx_gsavis/23-2722.pdf;48,0620555555556;-0,578277777777778;53262;Soulgé-sur-Ouette;Mayenne;Pays de la Loire;2023-12-02;2024-12-01;Expérimentation dans le cadre du projet « PI5G Plateformes Immersives 5G» qui a pour ambition d’accélérer le développement de produits/services combinant les technologies immersives (eXtended Reality) et la 5G pour l’industrie 4.0.;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
B-COM;2,6 GHz TDD;2595;2615;2023-2814;https://www.arcep.fr/uploads/tx_gsavis/23-2814.pdf;48,7803611111111;-3,27022222222222;22221;Plouguiel;Côtes-d'Armor;Bretagne;2024-01-05;2025-01-04;Le projet « Smart Water Network » vise à développer et expérimenter une nouvelle solution de traitement des données s’appuyant sur les bénéfices de la 5G pour la gestion dynamique des réseaux d’eau. Une telle technologie permettrait ainsi une détection accrue des fuites afin de réduire le gaspillage d’eau potable, ou d’éviter une infection des sols par des eaux usées.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
Thales;3,8 GHz;3900;4000;2023-2815;https://www.arcep.fr/uploads/tx_gsavis/23-2815.pdf;47,0664722222222;-0,857555555555556;49099;Cholet;Maine-et-Loire;Pays de la Loire;2024-01-01;2026-12-31;Thales continue l’expérimentation de la 5G sur son site industriel de Cholet pour tester dans des conditions réelles et sur l’ensemble du site de Cholet l’usage d’un réseau très haut débit permettant d’améliorer la performance industrielle ainsi que d’explorer les usages de l’industrie du futur.;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
GTS FRANCE SAS;3,8 GHz;3880;3980;2024-0135;https://www.arcep.fr/uploads/tx_gsavis/24-0135.pdf;48,785;2,20805555555556;78640;Vélizy-Villacoublay;Yvelines;Île-de-France;2022-09-01;2025-08-31;Expérimentation dans le ca de nouveaux cas d'usage;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0
IMT Nord Europe;3,8 GHz;3900;4000;2024-0136;https://www.arcep.fr/uploads/tx_gsavis/24-0136.pdf;50,6108333333333;3,13466666666667;59009;Villeneuve-d'Ascq;Nord;Hauts-de-France;2024-01-01;2025-12-31;IMT Nord Europe développe des communications de type véhicule à véhicule ou à infrastructure. Le but de cette expérimentation est de tester des solutions d’échange d’informations en temps réel afin de mieux percevoir l’environnement et d’améliorer la sécurité sur un réseau 5G-NR privé en bande n°77.;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0
Nokia Networks France;3,8 GHz;3900;4000;2024-0341;https://www.arcep.fr/uploads/tx_gsavis/24-0341.pdf;48,7196944444444;2,26644444444444;91377;Massy;Essonne;Île-de-France;2024-04-01;2026-12-01;Nos expériences visent à évaluer les avantages de la 5G dans le contexte de l'Industrie 4.0, en se concentrant sur l'amélioration des performances, des mesures de sécurité renforcées, une utilisation optimisée de l'énergie et uneamélioration globale de la qualité de l'expérience des opérateurs d'usine. Les applications potentielles de nos services s'étendent à divers cas d'utilisation, notamment la logistique et la livraison en usine, ainsi que la surveillance d'environnements industriels difficiles d'accès ou présentant des dangers pour les opérateurs.;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1
ArcelorMittal France;3,8 GHz;3900;4000;2024-0342;https://www.arcep.fr/uploads/tx_gsavis/24-0342.pdf;51,03975;2,28252777777778;59183;Dunkerque;Nord;Hauts-de-France;2024-03-14;2027-03-13;L’objectif du projet est de valider l’usage industriel de la 5G en environnement industriel sévère au travers de cas d’usages ciblés sur les différents métiers et lever les incertitudes et les risques (robustesse, sécurité): • réaliser une expérimentation technique pour appréhender la technologie 5G et ses contraintes de déploiement dans un environnement industriel difficile et de vérifier la robustesse de la solution dans un contexte d’applications hautement critiques. / • mener des expérimentations d’usine intelligente pour répondre aux enjeux de performance industrielle en environnement de production tant en Région Hauts de France (Dunkerque, Mardyck, Desvres) qu’en Région Grand Est (Florange).;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1
SNCF;3,8 GHz;3900;4000;2024-0137;https://www.arcep.fr/uploads/tx_gsavis/24-0137.pdf;48,6192222222222;7,74827777777778;67043;Bischheim;Bas-Rhin;Grand Est;2024-01-31;2027-01-30;Mise en place d’une expérimentation de réseau privé mobile 5G dans un technicentre industriel SNCF pour des cas d’usages de pilotage en temps réel et géolocalisations de machines et automatisation de transports logistiques via des AGV (Automatic Guided Vehicle) et AMR (Autonomous Mobile Robots). Le but de l’expérimentation est de mettre en évidence des cas d’usages apportant des gains de productivité au site.;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1
SNCF;2,6 GHz TDD;2595;2615;2024-0138;https://www.arcep.fr/uploads/tx_gsavis/24-0138.pdf;48,6193416666667;7,74923055555556;67043;Bischheim;Bas-Rhin;Grand Est;2024-01-31;2027-01-30;Mise en place d’une expérimentation de réseau privé mobile 5G dans un technicentre industriel SNCF pour des cas d’usages de pilotage en temps réel et géolocalisations de machines et automatisation de transports logistiques via des AGV (Automatic Guided Vehicle) et AMR (Autonomous Mobile Robots). Le but de l’expérimentation est de mettre en évidence des cas d’usages apportant des gains de productivité au site.;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1
Cellnex NEWCO4 France SAS;2,6 GHz TDD;2575;2615;2024-0343;https://www.arcep.fr/uploads/tx_gsavis/24-0343.pdf;45,8544722222222;4,69963888888889;69059;Civrieux-d'Azergues;Rhône;Auvergne-Rhône-Alpes;2022-10-01;2024-09-30;Déploiement d’un réseau privé 5G au sein du nouveau Lab de la société MGA Technologies créateur de machines sur-mesure pour l'industrie du futur. Ce Lab permettra d’expérimenter un réseau 5G en environnement industriel et de développer des prototypes de cas d’usage. Il servira également de showcase pour les clients et promouvra la 5G.;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0
AIRBUS Defence & Space;26 GHz;26500;27300;2024-0345;https://www.arcep.fr/uploads/tx_gsavis/24-0345.pdf;48,7983333333333;1,97;78028;;;;2024-04-01;2026-12-31;Dans le cadre de ses activités de Recherche & Développement sur la 5G, Airbus Defence and Space (ADS) teste une solution de communication longue portée permettant le déploiement rapide d’un réseau de communication critique (Forces de l’Ordre, Secours, Sécurité Civile, …).;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
Orange;26 GHz;26500;27500;2024-0346;https://www.arcep.fr/uploads/tx_gsavis/24-0346.pdf;48,79972222222222;2,2944444444444443;92020;Châtillon;Hauts-de-Seine;Île-de-France;2024-02-09;2025-02-08;La plateforme d’expérimentation 5G prévue par Orange à Châtillon doit permettre à Orange de tester différents cas d’usages de la 5G dans des zones d’affluence : expériences multimédias enrichies dans certaines situations de mobilité (streaming vidéo haute résolution 4K/8K, 360°, réalité augmentée, virtuelle ou mixte), production vidéo via la 5G, jeux en réseau dans le cloud, tournois d’e-sport…). A vocation généraliste, cette plateforme accueillera des entreprises et des start-up souhaitant développer des usages grand public.;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Novéa;2,6 GHz TDD;2575;2595;2024-0619;https://www.arcep.fr/uploads/tx_gsavis/24-0619.pdf;48,63554;-0,959099722222222;50436;Romagny Fontenay;Manche;Normandie;2024-03-12;2025-03-11;Novéa est un organisme de formation qui cherche à développer des formations 5G à destination des techniciens;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
Orange;26 GHz;26500;27500;2024-0347;https://www.arcep.fr/uploads/tx_gsavis/24-0347.pdf;48,1033083333333;-1,672025;35238;Rennes;Ille-et-Vilaine;Bretagne;2024-03-01;2025-02-28;L’objectif de cette expérimentation est de tester les cas d'usage suivants : l’ambulance connectée afin d'apporter un diagnostic et les premier secours à bord du vehicule sur une zone couverte en 5G et la salle d’opération connectée pour limiter le nombre de câbles au sein du bloc chirurgical et réaliser de la télémédecine,;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0
Sysoco/Axians;2,6 GHz TDD;2595;2615;2024-0621;https://www.arcep.fr/uploads/tx_gsavis/24-0621.pdf;44,9084166666667;-0,534222222222222;33032;Bassens;Gironde;Nouvelle-Aquitaine;2024-03-12;2025-03-11;Expérimentation dans le cadre de test de nouveau cas d'usage liés à la gestion d'un terminal maritime;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1
Sysoco/Axians;2,6 GHz TDD;2575;2595;2024-0779;https://www.arcep.fr/uploads/tx_gsavis/24-0779.pdf;47,5756111111111;0,902127777777778;37010;Auzouer-en-Touraine;Indre-et-Loire;Centre-Val de Loire;2024-04-10;2025-04-09;Expérimentation dans le cadre de nouveaux cas d'usage liés au secteur de l'industrie chimique;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
B-COM;3,8 GHz;3900;4000;2024-0618;https://www.arcep.fr/uploads/tx_gsavis/24-0618.pdf;48,1357639;-1,6231722;22113;Lannion;Côtes-d'Armor;Bretagne;2023-03-30;2026-03-29;Plateforme d'expérimentation 5G, dédiée à des expérimentations techniques pour les solutions développées par B-Com et à destination des verticaux.;0;0;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;0
Obvios;2,6 GHz TDD;2575;2595;2024-0945;https://www.arcep.fr/uploads/tx_gsavis/24-0945.pdf;48,7537222222222;-3,44725;22113;Lannion;Côtes-d'Armor;Bretagne;2024-04-22;2027-04-21;Expérimenation dans le cadre du projet « Smart Water Network » visant à développer et expérimenter une nouvelle solution de traitement des données s’appuyant sur les bénéfices de la 5G pour la gestion dynamique des réseaux d’eau. Une telle technologie permettrait ainsi une détection accrue des fuites afin de réduire le gaspillage d’eau potable, ou d’éviter une infection des sols par des eaux usées.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
Obvios;2,6 GHz TDD;2575;2595;2024-0945;https://www.arcep.fr/uploads/tx_gsavis/24-0945.pdf;48,1359166666667;-1,62325;35051;Cesson-Sévigné;Ille-et-Vilaine;Bretagne;2024-04-22;2027-04-21;Expérimenation dans le cadre du projet « Smart Water Network » visant à développer et expérimenter une nouvelle solution de traitement des données s’appuyant sur les bénéfices de la 5G pour la gestion dynamique des réseaux d’eau. Une telle technologie permettrait ainsi une détection accrue des fuites afin de réduire le gaspillage d’eau potable, ou d’éviter une infection des sols par des eaux usées.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
Schneider Electric;3,8 GHz;3900;4000;2024-0624;https://www.arcep.fr/uploads/tx_gsavis/24-0624.pdf;45,20388888888889;5,709722222222222;38185;Grenoble;Isère;Auvergne-Rhône-Alpes;2024-03-12;2026-03-11;Test de performances de réseau sur des cas d’usages industriels : échanges de données entre machines, pilotage à distance. Test du Hand Over.;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0
Qualcomm;26 GHz;26500;27500;2024-0778;https://www.arcep.fr/uploads/tx_gsavis/24-0778.pdf;48,7607194444444;-3,46724722222222;22113;Lannion;Côtes-d'Armor;Bretagne;2024-04-04;2025-04-03;Expérimentation de cas d'usage liés à l'internet des objets, la réalité virtuelle et augmentée;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0
Dauphin Telecom;2,6 GHz TDD;2575;2615;2024-0782;https://www.arcep.fr/uploads/tx_gsavis/24-0782.pdf;16,2206666666667;-61,52975;97113;Le Gosier;Guadeloupe;Guadeloupe;2024-04-22;2025-04-21;L’expérimentation, permettra de préparer un prototype modele qui sera adaptable sur n’importe quelle marina. La finalité, permettra, aux propriétaires de marina, d’optimiser la gestion de leur site sur les aspects suivants : occupation des quais - réservation en ligne des emplacements - remontée des informations administratives du loueur pour transmission contrat de location et règlement - qualité des eaux et température - balise de repérage pour les plaisanciers et autres usagers de la mer proche du site,;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0
Constellium;2,6 GHz TDD;2575;2595;2024-0697;https://www.arcep.fr/uploads/tx_gsavis/24-0697.pdf;48,0482222222222;7,56725;68036;Biesheim;Haut-Rhin;Grand Est;2024-03-28;2025-03-27;Expérimentation dans le cadre de nouveaux cas d'usage liés à l'industrie du future;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Axione;2,6 GHz TDD;2575;2615;2024-0946;https://www.arcep.fr/uploads/tx_gsavis/24-0946.pdf;48,81527777777777;2,3041666666666667;92046;Malakoff;Hauts-de-Seine;Île-de-France;2024-03-29;2025-03-28;Expérimentation dans le cadre de test de cas d'usage axés sur la transmission de données en upload pour un train en mobilité.;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
IMT Nord Europe;3,8 GHz;3900;4000;2024-0783;https://www.arcep.fr/uploads/tx_gsavis/24-0783.pdf;50,386944444444445;3,0836111111111113;59178;Douai;Nord;Hauts-de-France;2024-04-22;2025-12-31;Développement de communications de type véhicule à véhicule ou à infrastructure. Le but de cette expérimentation est de tester des solutions d’échange d’informations en temps réel afin de mieux percevoir l’environnement et d’améliorer la sécurité sur un réseau 5G-NR privé en bande n°77.;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0
Paris la Défense;26 GHz;26500;27300;2024-0777;https://www.arcep.fr/uploads/tx_gsavis/24-0777.pdf;48,8929416666667;2,23668333333333;92026;Courbevoie;Hauts-de-Seine;Île-de-France;2024-04-04;2026-04-03;La plateforme d’expérimentation 5G permettra à Paris La Défense et ses partenaires, d’expérimenter des usages inédits dans l’environnement urbain très dense du premier quartier d’affaires d’Europe. Ce dispositif devra permettre d’anticiper des scénarii de déploiement de la 5G, d'expérimenter des cas d’usages jugés stratégiques et de tester la faisabilité et la viabilité d’un nouveau modèle : un schéma d’opérateur neutre, installant des antennes dans les bâtiments ou mobiliers urbains et commercialisant un accès clé en main aux opérateurs qui viendraient y apporter leur réseau.;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1
Team Henry Fabre;3,8 GHz;3800;3900;2024-1043;https://www.arcep.fr/uploads/tx_gsavis/24-1043.pdf;43,40383333333333;5,205277777777778;13054;Marignane;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-05-02;2027-05-01;L'espérimentation permettra d'accompagner les PMI/ETI à découvrir et implémenter les opportunités de la 5G dans leur propre process, la TEAM Henri-Fabre met à disposition un réseau 5G privé au technocentre de Marignane.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0
Thales;2,6 GHz TDD;2575;2615;2024-1141;https://www.arcep.fr/uploads/tx_gsavis/24-1141.pdf;47,07780555555556;-0,8721944444444445;49099;Cholet;Maine-et-Loire;Pays de la Loire;2024-05-21;2026-12-31;L'expérimentation consiste à tester dans des conditions réelles et à grande échelle l’usage d’un réseau très haut débit permettant d’améliorer la performance industrielle ainsi que d’explorer les usages de l’industrie du futur;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
Thales;3,8 GHz;3900;4000;2024-1142;https://www.arcep.fr/uploads/tx_gsavis/24-1142.pdf;47,07669444444445;-0,8706111111111111;49099;Cholet;Maine-et-Loire;Pays de la Loire;2024-05-22;2026-12-31;L'expérimentation consiste à tester dans des conditions réelles et à grande échelle l’usage d’un réseau très haut débit permettant d’améliorer la performance industrielle ainsi que d’explorer les usages de l’industrie du futur;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
Luceor;3,8 GHz;3900;4000;2024-1157;https://www.arcep.fr/uploads/tx_gsavis/24-1157.pdf;49,47944444444445;0,1676388888888889;76351;Le Havre;Seine-Maritime;Normandie;2024-05-22;2027-05-21;L'expérimentation consiste à tester des cas d'usage liés à la manutention portuaire;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0
CNES;2,6 GHz TDD;2575;2615;2024-1762;https://www.arcep.fr/uploads/tx_gsavis/24-1762.pdf;5,171291;-52,680494;97304;Kourou;Guyane;Guyane;2024-09-01;2025-08-31;Le CSG et Axians expérimentent les usages de la 5G privée dans le cadre de la transformation numérique du CNES. Axians installe et forme le CNES sur un réseau 5G privé et ses services comme les comm. critiques, la liaison téléphonie, la remontée des alarmes;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0
Terminal Gestion Conteneurs;2,6 GHz TDD;2575;2595;2024-1763;https://www.arcep.fr/uploads/tx_gsavis/24-1763.pdf;-20,929688;55,315862;97407;Le Port;La Réunion;La Réunion;2024-09-01;2025-04-30;Créer une couverture en 4G privée sur la bande B38, à partir de trois bornes de type BAICELLS, sur une surface de 0,6Km². S’assurer que la qualité et l’intensité du signal soit satisfaisante, malgré un environnement possédant d’importantes structures métallique mobiles (conteneurs, portiques, navires), avant pérennisation de l’infrastructure;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Nokia Networks France;3,8 GHz;3900;4100;2024-1479;https://www.arcep.fr/uploads/tx_gsavis/24-1479.pdf;48,66583333333333;2,2399722222222223;91458;Nozay;Essonne;Île-de-France;2024-06-25;2025-06-24;Test de cas d'usage 5G;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bouygues Telecom;26 GHz;26500;26900;2024-1054;https://www.arcep.fr/uploads/tx_gsavis/24-1054.pdf;45,7615305555556;4,85896111111111;69123;Lyon;Rhône;Auvergne-Rhône-Alpes;2024-05-03;2025-05-02;Expérimentations dans le cadre de nouveaux ca d'usage liés à des applications de réalité augmentée ou de vidéochat en réalité mixte,;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1
Bouygues Telecom;26 GHz;26500;26900;2024-1054;https://www.arcep.fr/uploads/tx_gsavis/24-1054.pdf;48,7877;2,219075;78640;Vélizy-Villacoublay;Yvelines;Île-de-France;2024-05-03;2025-05-02;Expérimentations dans le cadre de nouveaux ca d'usage liés à des applications de réalité augmentée ou de vidéochat en réalité mixte,;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1
Bouygues Telecom;26 GHz;26500;26900;2024-1054;https://www.arcep.fr/uploads/tx_gsavis/24-1054.pdf;48,7876777777778;2,22463055555556;92048;Meudon;Hauts-de-Seine;Île-de-France;2024-05-03;2025-05-02;Expérimentations dans le cadre de nouveaux ca d'usage liés à des applications de réalité augmentée ou de vidéochat en réalité mixte,;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1
SNCF;2,6 GHz TDD;2595;2615;2024-1158;https://www.arcep.fr/uploads/tx_gsavis/24-1158.pdf;48,105000000000004;-1,636388888888889;35238;Rennes;Ille-et-Vilaine;Bretagne;2024-05-22;2027-05-21;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0
Eurecom;2,6 GHz TDD;2575;2615;2024-1415;https://www.arcep.fr/uploads/tx_gsavis/24-1415.pdf;43,61416666666667;0,07111111111111111;06018;Biot;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;2024-06-20;2026-06-19;Expérimentation dans le cadre de nouveaux cas d'usage - Site d’expérimentation Européen pour les technologies cellulaires 5G/6G;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;1;0
